반복 : 0 쌍 (23, 3) 이산형 비용: -inf, 연속형 비용: -0.4817876344086187, 총 비용: -inf
반복 : 0 쌍 (164, 5) 이산형 비용: 9.999999999999996, 연속형 비용: -1.8180369060861494, 총 비용: 998.1819630939135
반복 : 0 쌍 (164, 0) 이산형 비용: 3.9999999999999964, 연속형 비용: -1.6522177419354875, 총 비용: 398.34778225806417
반복 : 0 쌍 (164, 1) 이산형 비용: 1.9999999999999964, 연속형 비용: -1.7200894512421314, 총 비용: 198.27991054875753
반복 : 0 쌍 (164, 8) 이산형 비용: 1.9999999999999964, 연속형 비용: -1.8229630144605267, 총 비용: 198.17703698553913
반복 : 0 쌍 (164, 4) 이산형 비용: 3.9999999999999964, 연속형 비용: -0.5532657161731152, 총 비용: 399.4467342838266
반복 : 0 쌍 (177, 3) 이산형 비용: -inf, 연속형 비용: -0.4817876344086187, 총 비용: -inf
반복 : 0 쌍 (177, 2) 이산형 비용: -inf, 연속형 비용: -1.947069164150662, 총 비용: -inf
반복 : 0 쌍 (177, 7) 이산형 비용: -inf, 연속형 비용: -2.0677588193230747, 총 비용: -inf
반복 : 0 쌍 (177, 6) 이산형 비용: -inf, 연속형 비용: -0.3534731050373523, 총 비용: -inf
반복 : 0 쌍 (177, 5) 이산형 비용: -inf, 연속형 비용: -2.0850001986334235, 총 비용: -inf
반복 : 0 쌍 (177, 0) 이산형 비용: -inf, 연속형 비용: -1.90625, 총 비용: -inf
반복 : 0 쌍 (177, 1) 이산형 비용: -inf, 연속형 비용: -1.982455042639998, 총 비용: -inf
반복 : 0 쌍 (177, 8) 이산형 비용: -inf, 연속형 비용: -2.0899263070078007, 총 비용: -inf
반복 : 0 쌍 (177, 4) 이산형 비용: -inf, 연속형 비용: -0.8072979742376276, 총 비용: -inf
반복 : 0 쌍 (178, 3) 이산형 비용: -inf, 연속형 비용: -0.4817876344085903, 총 비용: -inf
반복 : 0 쌍 (178, 2) 이산형 비용: -inf, 연속형 비용: -1.1461792865088114, 총 비용: -inf
반복 : 0 쌍 (178, 7) 이산형 비용: -inf, 연속형 비용: -1.2668689416812242, 총 비용: -inf
반복 : 0 쌍 (178, 6) 이산형 비용: -inf, 연속형 비용: -0.38016943429204275, 총 비용: -inf
반복 : 0 쌍 (178, 5) 이산형 비용: -inf, 연속형 비용: -1.284110320991573, 총 비용: -inf
반복 : 0 쌍 (178, 0) 이산형 비용: -inf, 연속형 비용: -1.1441532258064342, 총 비용: -inf
반복 : 0 쌍 (178, 1) 이산형 비용: -inf, 연속형 비용: -1.1953582684464266, 총 비용: -inf
반복 : 0 쌍 (178, 8) 이산형 비용: -inf, 연속형 비용: -1.2890364293659502, 총 비용: -inf
반복 : 0 쌍 (178, 4) 이산형 비용: -inf, 연속형 비용: -0.5040322580645125, 총 비용: -inf
반복 : 0 쌍 (182, 3) 이산형 비용: -inf, 연속형 비용: -0.4817876344086187, 총 비용: -inf
반복 : 0 쌍 (182, 2) 이산형 비용: -inf, 연속형 비용: -1.4131425790561138, 총 비용: -inf
반복 : 0 쌍 (182, 7) 이산형 비용: -inf, 연속형 비용: -1.5338322342285267, 총 비용: -inf
반복 : 0 쌍 (182, 6) 이산형 비용: -inf, 연속형 비용: -0.3712706578738505, 총 비용: -inf
반복 : 0 쌍 (182, 5) 이산형 비용: -inf, 연속형 비용: -1.5510736135388754, 총 비용: -inf
반복 : 0 쌍 (182, 0) 이산형 비용: -inf, 연속형 비용: -1.398185483870975, 총 비용: -inf
반복 : 0 쌍 (182, 1) 이산형 비용: -inf, 연속형 비용: -1.4577238598442932, 총 비용: -inf
반복 : 0 쌍 (182, 8) 이산형 비용: -inf, 연속형 비용: -1.5559997219132526, 총 비용: -inf
반복 : 0 쌍 (182, 4) 이산형 비용: -inf, 연속형 비용: -0.5080645161290533, 총 비용: -inf
반복 : 0 쌍 (188, 3) 이산형 비용: 3.9999999999999964, 연속형 비용: -0.4817876344085903, 총 비용: 399.51821236559107
반복 : 0 쌍 (188, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: 0.7225637613221068, 총 비용: 600.7225637613218
반복 : 0 쌍 (188, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: 0.6018741061496939, 총 비용: 600.6018741061494
반복 : 0 쌍 (188, 6) 이산형 비용: 6.0, 연속형 비용: -0.442460869219758, 총 비용: 599.5575391307802
반복 : 0 쌍 (188, 5) 이산형 비용: 6.0, 연속형 비용: 0.5846327268393452, 총 비용: 600.5846327268393
반복 : 0 쌍 (188, 0) 이산형 비용: -inf, 연속형 비용: 0.6340725806451815, 총 비용: -inf
반복 : 0 쌍 (188, 1) 이산형 비용: 4.0, 연속형 비용: 0.6412008713385262, 총 비용: 400.6412008713385
반복 : 0 쌍 (188, 8) 이산형 비용: 6.0, 연속형 비용: 0.579706618464968, 총 비용: 600.579706618465
반복 : 0 쌍 (188, 4) 이산형 비용: -inf, 연속형 비용: -0.4758064516128968, 총 비용: -inf
반복 : 0 쌍 (192, 3) 이산형 비용: 5.9999999999999964, 연속형 비용: -0.4817876344086187, 총 비용: 599.518212365591
반복 : 0 쌍 (192, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: 2.324343516605751, 총 비용: 602.3243435166054
반복 : 0 쌍 (192, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: 2.203653861433338, 총 비용: 602.2036538614329
반복 : 0 쌍 (192, 6) 이산형 비용: 16.0, 연속형 비용: -0.4958535277292242, 총 비용: 1599.5041464722708
반복 : 0 쌍 (192, 5) 이산형 비용: 9.999999999999996, 연속형 비용: 2.1864124821229893, 총 비용: 1002.1864124821227
반복 : 0 쌍 (192, 0) 이산형 비용: 3.9999999999999964, 연속형 비용: 2.1582661290322562, 총 비용: 402.1582661290319
반복 : 0 쌍 (192, 1) 이산형 비용: 1.9999999999999964, 연속형 비용: 2.2153944197256124, 총 비용: 202.21539441972527
반복 : 0 쌍 (192, 8) 이산형 비용: 1.9999999999999964, 연속형 비용: 2.181486373748612, 총 비용: 202.18148637374827
반복 : 0 쌍 (192, 4) 이산형 비용: 3.9999999999999964, 연속형 비용: -0.45161290322582204, 총 비용: 399.5483870967738
반복 : 0 쌍 (218, 3) 이산형 비용: 5.9999999999999964, 연속형 비용: -0.4817876344086187, 총 비용: 599.518212365591
반복 : 0 쌍 (218, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: 0.3888596456380071, 총 비용: 600.3888596456377
반복 : 0 쌍 (218, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: 0.2681699904655943, 총 비용: 600.2681699904653
반복 : 0 쌍 (218, 6) 이산형 비용: 16.0, 연속형 비용: -0.43133739869696797, 총 비용: 1599.568662601303
반복 : 0 쌍 (218, 5) 이산형 비용: 9.999999999999996, 연속형 비용: 0.25092861115524556, 총 비용: 1000.2509286111549
반복 : 0 쌍 (218, 0) 이산형 비용: 3.9999999999999964, 연속형 비용: 0.31653225806451246, 총 비용: 400.31653225806417
반복 : 0 쌍 (218, 1) 이산형 비용: 1.9999999999999964, 연속형 비용: 0.3132438820912, 총 비용: 200.31324388209086
반복 : 0 쌍 (218, 8) 이산형 비용: 1.9999999999999964, 연속형 비용: 0.24600250278086833, 총 비용: 200.24600250278053
반복 : 0 쌍 (218, 4) 이산형 비용: 3.9999999999999964, 연속형 비용: -0.4808467741935658, 총 비용: 399.5191532258061
반복 : 0 쌍 (220, 3) 이산형 비용: 5.9999999999999964, 연속형 비용: -0.4817876344086187, 총 비용: 599.518212365591
반복 : 0 쌍 (220, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: -0.011585293182918122, 총 비용: 599.9884147068167
반복 : 0 쌍 (220, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: -0.13227494835533093, 총 비용: 599.8677250516444
반복 : 0 쌍 (220, 6) 이산형 비용: 16.0, 연속형 비용: -0.41798923406960853, 총 비용: 1599.5820107659304
반복 : 0 쌍 (220, 5) 이산형 비용: 9.999999999999996, 연속형 비용: -0.14951632766567968, 총 비용: 999.850483672334
반복 : 0 쌍 (220, 0) 이산형 비용: 3.9999999999999964, 연속형 비용: -0.06451612903225623, 총 비용: 399.9354838709674
반복 : 0 쌍 (220, 1) 이산형 비용: 1.9999999999999964, 연속형 비용: -0.08030450500558572, 총 비용: 199.91969549499407
반복 : 0 쌍 (220, 8) 이산형 비용: 1.9999999999999964, 연속형 비용: -0.15444243604005692, 총 비용: 199.8455575639596
반복 : 0 쌍 (220, 4) 이산형 비용: 3.9999999999999964, 연속형 비용: -0.4868951612903345, 총 비용: 399.5131048387093
반복 : 0 쌍 (222, 3) 이산형 비용: 3.9999999999999964, 연속형 비용: -0.4817876344085903, 총 비용: 399.51821236559107
반복 : 0 쌍 (222, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: -1.1461792865088114, 총 비용: 598.8538207134909
반복 : 0 쌍 (222, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: -1.2668689416812242, 총 비용: 598.7331310583185
반복 : 0 쌍 (222, 6) 이산형 비용: 6.0, 연속형 비용: -0.38016943429204275, 총 비용: 599.619830565708
반복 : 0 쌍 (222, 5) 이산형 비용: 6.0, 연속형 비용: -1.284110320991573, 총 비용: 598.7158896790085
반복 : 0 쌍 (222, 0) 이산형 비용: -inf, 연속형 비용: -1.1441532258064342, 총 비용: -inf
반복 : 0 쌍 (222, 1) 이산형 비용: 4.0, 연속형 비용: -1.1953582684464266, 총 비용: 398.8046417315536
반복 : 0 쌍 (222, 8) 이산형 비용: 6.0, 연속형 비용: -1.2890364293659502, 총 비용: 598.710963570634
반복 : 0 쌍 (222, 4) 이산형 비용: -inf, 연속형 비용: -0.5040322580645125, 총 비용: -inf
반복 : 0 쌍 (239, 3) 이산형 비용: 3.9999999999999964, 연속형 비용: -0.4817876344086187, 총 비용: 399.518212365591
반복 : 0 쌍 (239, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: 0.2553779993643559, 총 비용: 600.255377999364
반복 : 0 쌍 (239, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: 0.1346883441919431, 총 비용: 600.1346883441915
반복 : 0 쌍 (239, 6) 이산형 비용: 6.0, 연속형 비용: -0.4268880104878576, 총 비용: 599.5731119895122
반복 : 0 쌍 (239, 5) 이산형 비용: 6.0, 연속형 비용: 0.11744696488159434, 총 비용: 600.1174469648815
반복 : 0 쌍 (239, 0) 이산형 비용: -inf, 연속형 비용: 0.18951612903225623, 총 비용: -inf
반복 : 0 쌍 (239, 1) 이산형 비용: 4.0, 연속형 비용: 0.1820610863922525, 총 비용: 400.18206108639225
반복 : 0 쌍 (239, 8) 이산형 비용: 6.0, 연속형 비용: 0.1125208565072171, 총 비용: 600.1125208565072
반복 : 0 쌍 (239, 4) 이산형 비용: -inf, 연속형 비용: -0.48286290322582204, 총 비용: -inf
반복 : 0 쌍 (242, 3) 이산형 비용: 5.9999999999999964, 연속형 비용: -0.4817876344086187, 총 비용: 599.518212365591
반복 : 0 쌍 (242, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: -1.4798834021929395, 총 비용: 598.5201165978067
반복 : 0 쌍 (242, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: -1.6005730573653523, 총 비용: 598.3994269426344
반복 : 0 쌍 (242, 6) 이산형 비용: 16.0, 연속형 비용: -0.3690459637692811, 총 비용: 1599.6309540362308
